Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,People Partner,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/4748ba30-6ae8-4746-8292-2f9225106899,,N,4
Plaid,New Business Associate - Inbound,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/177857f0-5455-4af7-ae04-1bedb3a1bc27,,N,4
Plaid,Named Account Executive - Credit,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/5bd42805-f6a2-4346-ae89-da30bb427e01,,N,4
Plaid,Marketing Strategy and Operations Analyst,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/b5311b97-bc98-4219-a3c9-efcd994243d0,,N,4
Plaid,Macro & Credit Research Economist,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/582b1c72-e531-4e71-ba80-09956c1163eb,,N,4
Plaid,Integrations Operations Program Manager,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/40a951b5-143d-4d63-ad66-28477202f145,,N,4
Plaid,Head of Support,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/31d1ef5f-c05a-4c71-8346-2f348d702e98,,N,4
Plaid,Head of GTM Finance,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/ba0a50b3-58e3-4bdb-9fcb-042f06ff7e47,,N,4
Plaid,GTM Strategic Finance,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/680d77af-487c-4226-9302-d16f37649bde,,N,4
Plaid,"GTM Operations Associate, Revenue",San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/10beec77-4b11-4d6e-996e-16db7914cfcb,,N,4
